name,acronym,start_date_year,end_date_year,grant_no,role,budget,logo_url,description,url
"WEBn+1: ""Nuevos componentes para el desarrollo de una nueva web en la Internet del futuro"". ",WEBn+1,2009,2011,,,,,,
Wf4Ever: Advanced Workflow Preservation Technologies for Enhanced Science ,Wf4ever,2010,2013,,,,,,
EarthCube Building Blocks: Software Stewardship for the Geosciences,OntoSoft,2013,2015,ICER-1440323,,,,,
The Age of Water and Carbon in Hydroecological Systems: A New Paradigm for Science Innovation and Collaboration through Organic Team Science,ODS,2013,2015,IIS-1344272,,,,,
EarthCube Integrated Activities: LinkedEarth: Crowdsourcing Data Curation and Standards Development in Paleoclimatology,LinkedEarth,2015,2017,ICER-1541029,,,,,
Towards Automating Discovery with DISK: Systematic Data Analysis of Science Repositories,,2016,2018,W911NF-15-1-0555,,,,,
A Discovery Engine for Reproducible Comparable Multi-Omics Analysis,DISK,2016,2018,1R01GM117097-01,,,,,
DSBOX: Data Scientist in a Box,DSBox,2017,2021,FA8750-17-C-0106,,,,,
MINT: Model INTegration Through Knowledge-Rich Data and Process Composition,MINT,2017,2021,W911NF-18-1-0027,,,,,
Crowdsourcing metadata for the ENIGMA neuroscience collaboration,ENIGMA,2018,2023,,,,,,
EarthCube Integration: ASSET: Accelerating Scientific Workflows using EarthCube Technologies,ASSET,2017,2019,ICER-1740683,,,,,
High Resolution Mapping of the Genetic Risk for Disease in the Aging Brain,ENIGMA-DISK,2019,2023,1R01AG059874-01,,,,,
Artificial Intelligence and Community Driven Wildland Fire Innovation via a WIFIRE Commons Infrastructure for Data and Model Sharing,WiFire,2020,2021,KR 704013,,,,,
CONVENIO PLURIANUAL ENTRE LA ADMINISTRACION DE LA CM Y LA UPM PARA LA REGULARIZACION CIENTIFICA E INNOVACION TECNOLOGICA (FONDOS DE INVESTIGACION PARA LAS AYUDAS BEATRIZ-GALINDO) ,ResuF,2021,2025,,PI,,,,
AYUDAS PARA LA REALIZACION DE PROYECTOS DE I+D PARA JOVENES INVESTIGADORES (CREACIÓN DE UN OBSERVATORIO DE BUENAS PRÁCTICAS PARA EL ANÁLISIS Y ENLAZADO DE SOFTWARE CIENTÍFICO) ,ObsSoft,2022,2024,APOYO-JOVENES-21-WTK0O2-107-M8I98X,PI,40000,,,
Atresmedia-Ontologies and Wikidata,A3media,2022,2025,,PI,10000,,,
FAIR-IMPACT- EXPANDING FAIR SOLUTIONS ACROSS EOSC ,FAIR-IMPACT,2022,2025,,Research lead,,,,
SOLARCHEM 5.0: Towards Digital Transition in Solar Chemistry ,Solarchem,2022,2025,,Research lead,,,,https://energia.imdea.org/en/porfolio/solarchem-5-0-towards-digital-transition-in-solar-chemistry-solarchem-5-0-ai-assisted-robotized-platform-for-the-development-of-efficient-photoelectrodes/
Delivering the Commons to Plan-Track-Assess research in EOSC,OSTrails,2024,2027,101130187,Co-PI,349375,https://dgarijo.com/images/ostrails.png,,https://ostrails.eu/
EVERSE- EUROPEAN VIRTUAL INSTITUTE FOR RESEARCH SOFTWARE EXCELLENCE ,EVERSE,2024,2027,101129744,PI,337500 (UPM),https://dgarijo.com/images/everse.png,"EVERSE aims to create a framework for research software and code excellence, collaboratively designed and championed by the research communities, in pursuit of building a European network of Research Software Quality and setting the foundations of a future Virtual Institute for Research Software Excellence.",https://everse.software/
CODEMETASOFT,CodeMetaSoft,2024,2026,,PI,250000,https://softwareunderstanding.github.io/CodeMetaSoft_website/img/image.png,,https://www.oscars-project.eu/projects/codemetasoft
SOEL: Asistentes para ingeniería ontológica basados en modelos de lenguaje ,SOEL,2024,2027,PID2023-152703NA-I00,Co-PI,184.125,,,
FAIR2Adapt: FAIR to Adapt to Climate Change,FAIR2Adapt,2025,2028,,PI,475000,,,
