name,acronym,track,year,num_papers,url
Conference on Knowledge Engineering and Knowledge Management,EKAW,,2024,2,https://event.cwi.nl/ekaw2024/
International Conference on Semantic Systems,Semantics,demo,2024,3,https://2024-eu.semantics.cc/
International Conference on Semantic Systems,Semantics,research,2024,3,https://2024-eu.semantics.cc/
International Semantic Web Conference,ISWC,in use,2024,3,https://iswc2024.semanticweb.org/
International Semantic Web Conference,ISWC,research,2024,2,https://iswc2024.semanticweb.org/
Extended Semantic Web Conference,ESWC,special session on LLM4KE,2024,2,https://2024.eswc-conferences.org/call-for-papers-llms/
International Joint Conference on Artificial Intelligence,IJCAI,demo,2024,6,https://ijcai24.org/call-for-ijcai-2024-demonstrations/
Extended Semantic Web Conference,ESWC,research,2024,2,https://2024.eswc-conferences.org/
International Conference on Knowledge Capture,K-CAP,,2023,4,https://www.k-cap.org/2023/
International Semantic Web Conference,ISWC,industry,2023,6,https://iswc2023.semanticweb.org/
Theory and Practice of Digital Libraries,TPDL,,2023,1,https://tpdl2023.dei.unipd.it/
International Joint Conference on Artificial Intelligence,IJCAI,demo,2023,2,https://ijcai24.org/call-for-ijcai-2024-demonstrations/
Extended Semantic Web Conference,ESWC,resource,2023,2,https://2023.eswc-conferences.org/
Extended Semantic Web Conference,ESWC,research (spc),2023,2,https://2023.eswc-conferences.org/
The Symposium on Educational Advances in Artificial Intelligence,EAAI,,2023,4,https://aaai-23.aaai.org/eaai-23-call/
International Joint Conference on Knowledge Graphs ,IJCKG,,2022,2,http://ijckg.org/
Conference on Knowledge Engineering and Knowledge Management,EKAW,,2022,2,https://ekaw2022.inf.unibz.it/
International Semantic Web Conference,ISWC,in use,2022,1,https://iswc2022.semanticweb.org/
International Conference on Semantic Systems,Semantics,research,2022,2,https://2022-eu.semantics.cc/
International Joint Conference on Artificial Intelligence,IJCAI,demo,2022,4,https://ijcai-22.org/
The Web Conference,WWW,demo,2022,4,https://archives.iw3c2.org/www2022/
Extended Semantic Web Conference,ESWC,research,2022,2,https://2022.eswc-conferences.org/
Extended Semantic Web Conference,ESWC,resource,2022,2,https://2022.eswc-conferences.org/
The Web Conference,WWW,semantics and knowledge,2022,4,https://archives.iw3c2.org/www2021
Association for the Advancement of Artificial Intelligence,AAAI,,2022,2,https://aaai.org/conference/aaai/aaai-22/
International Joint Conference on Knowledge Graphs ,IJCKG,,2021,3,http://ijckg.org/
International Conference on Semantic Systems,Semantics,research,2021,2,https://2021-eu.semantics.cc/
International Semantic Web Conference,ESWC,resource,2021,2,https://iswc2022.semanticweb.org/
International Semantic Web Conference,ESWC,research,2021,2,https://iswc2022.semanticweb.org/
International Joint Conference on Artificial Intelligence,IJCAI,demo,2022,4,https://ijcai-21.org/
International Joint Conference on Artificial Intelligence,IJCAI,research,2022,4,https://ijcai-21.org/
Extended Semantic Web Conference,ESWC,research,2022,3,https://2021.eswc-conferences.org/
