name,acronym,year,num_papers
Transactions on Graph Data and Knowledge,TGDK,2024,1
Semantic Web Journal,SWJ,2024,1
PeerJ,PeerJ,2024,1
Transactions on Graph Data and Knowledge,TGDK,2023,1
Data Science Journal,DSJ,2023,1
Computing in Science and Engineering,CiSeSi,2023,1
Frontiers in Artificial Intelligence,frontiers,2023,1
Semantic Web Journal,SWJ,2022,1
PeerJ,PeerJ,2021,1
Frontiers in Artificial Intelligence,frontiers,2021,1
International Journal of Software Engineering and Knowledge Engineering,IJSEKE,2021,1
Quantitative Science Studies,QSS,2021,1
Journal of Biomedical Semantics,JSBM,2021,1
Semantic Web Journal,SWJ,2021,1
