name,acronym,role,year,url
International Semantic Web Conference,ISWC,Student coordinator,2016,https://iswc2016.semanticweb.org/pages/organization.html
International Conference on Knowledge Capture,K-CAP,Treasurer and sponsor chair,2017,https://k-cap2017.org/organising-committee/
International Science and Engineering Fair,ISWF,Judge,2017,https://student.societyforscience.org/intel-isef-2017-public-day
International Semantic Web Conference,ISWC,Senior Program Committee,2017,https://iswc2017.ai.wu.ac.at/organization/resources-track-pc/
International Conference on Knowledge Capture,K-CAP,Tutorial and Workshop chair,2019,http://www.k-cap.org/2019/organising-committee/index.html
International Conference on Knowledge Engineering and Knowledge Management,EKAW,Posters and Demos chair,2020,https://ekaw2020.inf.unibz.it/call-for-posters-and-demos/
Intelligent Systems for Geosciences Research Collaboration Network ,IS-GEO,Coordinator,2020,
International Conference on Knowledge Capture,K-CAP,Knowledge Graph chair,2021,https://www.k-cap.org/2021/oc.html
International Semantic Web Conference,ISWC,Senior Program Committee,2022,https://iswc2022.semanticweb.org/index.php/research-track-pc/index.html
International Semantic Web Conference,ISWC,Industry chair,2023,https://iswc2023.semanticweb.org/organization/organizing-committee/
The Web Conference,WWW,Proceedings chair,2023,https://www2023.thewebconf.org/about/committee/
International Conference on Semantic Systems,Semantics,Knowledge Graph chair,2023,https://2023-eu.semantics.cc/page/oc
International Conference on Knowledge Capture,K-CAP,Program chair,2023,"https://www.k-cap.org/2023/oc.html"""
Transactions on Graph Data and Knowledge,TGDK,Editorial board member,2023,https://tgdk.org/board.html
International Conference on Semantic Systems,Semantics,Tutorial and Workshop chair,2024,https://2024-eu.semantics.cc/page/oc
International Conference on Semantic Systems,Semantics,Tutorial and Workshop chair,2025,https://2025-eu.semantics.cc/page/oc
International Conference On Formal Ontology in Information Systems,FOIS,Posters and Demos chair,2025,https://www.dmi.unict.it/fois2025/?page_id=32
International Semantic Web Conference,ISWC,Research Track chair,2025,https://iswc2025.semanticweb.org/#/organizing_committee
ACM INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING,KDD,Artifact Badging,2025,https://kdd2025.kdd.org/call-for-artifact-badging/
ACM INTERNATIONAL CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING,KDD,Artifact Badging,2026,not announced yet
Extended Semantic Web Conference,ESWC,In Use,2026,https://2026.eswc-conferences.org/calls/papers-in-use-track/
The Web Conference,WWW,Artifact Badging,2026,https://www2026.thewebconf.org/calls/artifact-badging.html
w3id.org,w3id,Maintainer,,https://w3id.org
